Change Component Footprint: Designator=D13 Old Footprint=LED 0402_1005 BLUE New Footprint=LED 0603_1608 BLUE
Change Component Footprint: Designator=D12 Old Footprint=LED 0402_1005 GREEN New Footprint=LED 0603_1608 GREEN
Change Component Footprint: Designator=D10 Old Footprint=LED 0402_1005 RED New Footprint=LED 0603_1608 RED
Change Component Footprint: Designator=D11 Old Footprint=LED 0402_1005 YELLOW New Footprint=LED 0603_1608 YELLOW
Change component parameters: Designator = "D11" ("D11"); Footprint = "LED 0402_1005 YELLOW"; UniqueID = "\YCAQZIDO" ("\YCAQZIDO")
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "SML-D15YWT86"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartId"; Value = "114"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.06"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "SML-D15"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "1.60mm L x 0.80mm W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Device Package"; Value = "1608 (0603)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "SML-D15YWT86DKR-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "Yellow"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Forward (Vf) (Typ)"; Value = "2.1V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Wavelength - Dominant"; Value = "590nm"; VariantName = "[No Variations]"
Change component parameters: Designator = "D13" ("D13"); Footprint = "LED 0402_1005 BLUE"; UniqueID = "\KRGSDZDZ" ("\KRGSDZDZ")
Change component parameters (AddParameter): Name = "Color"; Value = "Blue"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "//media.digikey.com/pdf/Data%20Sheets/Osram%20PDFs/LB_Q39G_v1.4_9-1-15.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/en/products/detail/osram-opto-semiconductors-inc/LB-Q39G-L2OO-35-1/2176322"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Configuration"; Value = "Standard"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Test"; Value = "5mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height (Max)"; Value = "0.40mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "6/3/2024 7:57:52 PM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lens Color"; Value = "White"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lens Size"; Value = "1.10mm x 0.80mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lens Style"; Value = "Rectangle with Flat Top"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lens Transparency"; Value = "Diffused"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "OSRAM Opto Semiconductors Inc."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Millicandela Rating"; Value = "29.5mcd"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "LB Q39G-L2OO-35-1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartId"; Value = "832"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.06"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "CHIPLED 0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "1.60mm L x 0.80mm W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Device Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "475-2816-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "Blue"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Viewing Angle"; Value = "155°, 135°"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Forward (Vf) (Typ)"; Value = "2.85V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Wavelength - Dominant"; Value = "470nm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Wavelength - Peak"; Value = "472nm"; VariantName = "[No Variations]"
Change component parameters: Designator = "D12" ("D12"); Footprint = "LED 0402_1005 GREEN"; UniqueID = "\LSMZDPQB" ("\LSMZDPQB")
Change component parameters (AddParameter): Name = "Color"; Value = "Green"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.rohm.com/datasheet/SML-D12V8W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/en/products/detail/rohm-semiconductor/SML-D13M8WT86/4004597"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Configuration"; Value = "Standard"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Test"; Value = "20mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height (Max)"; Value = "0.65mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "6/3/2024 7:58:53 PM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lens Color"; Value = "White"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lens Size"; Value = "1.20mm x 0.80mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lens Style"; Value = "Rectangle with Flat Top"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lens Transparency"; Value = "Diffused"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Rohm Semiconductor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Millicandela Rating"; Value = "40mcd"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "SML-D13M8WT86"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartId"; Value = "617"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.04"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "EXCELED™"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "1.60mm L x 0.80mm W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Device Package"; Value = "1608 (0603)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "846-1198-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "Green"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Forward (Vf) (Typ)"; Value = "2.2V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Wavelength - Dominant"; Value = "572nm"; VariantName = "[No Variations]"
Change component parameters: Designator = "D10" ("D10"); Footprint = "LED 0402_1005 RED"; UniqueID = "\RKUTWQYX" ("\RKUTWQYX")
Change component parameters (AddParameter): Name = "Color"; Value = "Red"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.dialightsignalsandcomponents.com/Assets/Brochures_And_Catalogs/Indication/597-xxxx-4xx.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/en/products/detail/dialight/5975112402F/2432586"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Configuration"; Value = "Standard"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Test"; Value = "20mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Package"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height (Max)"; Value = "0.70mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "6/3/2024 7:59:47 PM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lens Color"; Value = "White"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lens Size"; Value = "1.10mm x 0.80mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lens Style"; Value = "Rectangle with Flat Top"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lens Transparency"; Value = "Diffused"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Dialight"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Millicandela Rating"; Value = "11.7mcd"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "0603 (1608 Metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Strip"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "5975112402F"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartId"; Value = "449"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.24"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "597"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "1.60mm L x 0.80mm W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Device Package"; Value = "2-SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "350-2890-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "Red"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Viewing Angle"; Value = "152°"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Forward (Vf) (Typ)"; Value = "1.7V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Wavelength - Dominant"; Value = "647nm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Wavelength - Peak"; Value = "660nm"; VariantName = "[No Variations]"
Added Room: Name=Connector
Added Room: Name=MCU
Added Room: Name=Power_Supply
Added Room: Name=Sensor
